id,type,text1,text2,text3,text4,text5,notes
COM_HE_Fighter,SHIP,"The T-105 People’s Grav-Fighter represents the Red Horizon Pact’s first mass-produced hover-strike craft, a triumph of collective engineering and proletarian discipline. Designed to be built in overwhelming numbers, the T-105 trades decadent individualist “firepower supremacy” for the virtues of thick, worker-forged armor plating and unyielding “reliability”. When the cowardly Tri-Tachyon capitalists fled Dniprovia, they attempted to scorch the ground behind them—yet the people salvaged an intact experimental gravity-drive core from the ruins. Through the heroic labor of Morozovian scientists, this technology was swiftly integrated into all RHP fighter designs, ensuring that the power of liberated gravity now serves the revolutionary vanguard alone.",,,,,
com_energy_tank,SHIP,"The T-406 People’s Grav-tank, Model II is the Red Horizon Pact’s second-generation socialist strikecraft. Built for mass deployment and unwavering battlefield endurance, the T-406 favors thick, worker-forged armor and reliable systems over bourgeois notions of individual firepower.
When the Tri-Tachyon technocrats fled Dniprovia, they attempted to annihilate their own research archives—but the people salvaged a surviving experimental gravity-drive engine. Morozov’s scientists swiftly collectivized its principles and integrated this liberated technology into all RHP fighters. The T-406 stands as the perfect expression of that achievement: durable, numerous, and propelled by gravity reclaimed for the proletariat.",,,,,
com_KE_tank,SHIP,"The T-972 People’s Grav-Interceptor is the Red Horizon Pact’s third-generation fighter, purpose-built to tear down enemy shields through disciplined massed assault rather than decadent precision weaponry. Prioritizing thick proletarian armor and overwhelming numbers over individual firepower, the T-972 reflects the Pact’s doctrine of collective strength. When the Tri-Tachyon monopolists fled Dniprovia, they failed to destroy an experimental gravity-drive core, which Morozov’s scientists swiftly reclaimed and integrated into all RHP fighters. Empowered by this liberated technology, the T-972 remains a stalwart shield-breaker of the revolutionary skies.",,,,,
com_astral,SHIP,"The peoples astral class are Retrofitted Astra-class carrier, born from reverse-engineered prototypes seized from decadent powers. Their missile capacity has been vastly expanded, and the inefficient recall device replaced with a burn drive—ensuring maximum output in service of the People’s Fleet.",,,,,
com_invictus,SHIP,"The People’s Invictus class are downsized, industrially rationalized variant of the Invictus-class, redesigned to enable rapid mass production across Morozov’s socialist shipyards. Though reduced in scale, it preserves the revolutionary spirit and overwhelming firepower of its lineage, ensuring that every People’s Republic can field a proud vanguard of armored might.",,,,,
com_hammerhead,SHIP,"A revolutionary redesign of the Hammerhead-class destroyer, this model has been reforged to embody the principles of collective strength and uncompromising solidarity. Expanded missile reserves and significantly reinforced armor—especially along the prow—enable the vessel to shatter hostile lines through decisive, morale-raising ramming actions. Built for the People and defended by their steel, it stands as a symbol of disciplined unity on the front.",,,,,
com_brawler,SHIP,"The People’s Brawler is a proletarian frigate of the Brawler class, retrofitted with a robust Morozov-forged burn drive to ensure rapid, decisive deployment in the defense of the working masses. Designed for reliability, unity of purpose, and collective strength, it stands as a testament to Morozov’s industrious shipyards and the revolutionary will of its crew.",,,,,
com_conquest,SHIP,"The Sickle-class Battlecruiser is a heavily armored barrage warship, forged as a proud evolution of the Conquest-class and refined for the needs of the collective. Built to endure and overwhelm, it delivers sustained firepower embodying the industrial strength and disciplined might of the people's navy. At its heart lies a hardened operations center, engineered for maximum efficiency and coordination—an essential tool in the hands of the Red Horizon Pact’s most trusted officers. Favored by the High Admiralty for its battlefield resilience and command utility, the Sickle-class is more than a warship; it is a symbol of unity, perseverance, and the unbreakable will of the proletariat.",,,,,
com_anubis,SHIP,"The People’s Anubis-class is a revolutionary refit of the original Anubis hull, rebuilt to embody the disciplined strength and collective will of the Red Horizon Pact. Its unstable temporal shell has been discarded in favor of a dependable, Party-approved burn drive that ensures unwavering advance alongside the fleet. Expanded missile batteries replace decadent “precision” systems, allowing the People’s Anubis to unleash overwhelming, proletarian firepower in service of massed, coordinated assaults. A symbol of reliability and socialist unity, this refit stands as a testament to Morozovian engineering and the supremacy of collective design over individualist excess.
",,,,,
com_odyssey,SHIP,"The People’s Odyssey-class is a revolutionary retrofit of the Odyssey battlecruiser, rebuilt to uphold the strategic needs of the peoples fleet. Its missile deployment systems have been expanded and collectivized for greater volley saturation, while a robust burn drive has been integrated into its engines to enable decisive breakthrough maneuvers. In the hands of the Red Horizon Pact, the People’s Odyssey-class transforms a once-bourgeois exploration hull into a disciplined instrument of proletarian power.",,,,,
com_drover,SHIP,"The People’s Driver is a revolutionary redesign of the Driver-class carrier, painstakingly reverse-engineered from liberated enemy hulls and rebuilt for the needs of the collective. Its reinforced armor plating reflects the unbreakable resolve of the working masses, while the shield generator—trimmed down to conserve precious industrial resources—remains strong enough to defend the ship so long as it stands in solidarity with the fleet. Rugged, reliable, and built for mass production, the People’s Driver serves as a proud testament to socialist ingenuity.",,,,,
com_mora,SHIP,"The People’s Mora is a revolutionary reconstruction of the classic Mora-class carrier, reforged through the collective labor of Morozov’s shipwright communes. Reinforced with proletarian-grade armor plating and strengthened forward batteries, it sacrifices decadent shield performance in favor of honest, material firepower. Its engine block has been re-engineered to mount a state-approved burn drive, granting greater pursuit speed while accepting reduced maneuverability as the necessary burden of duty. Renowned for its dual usefulness in industry and war, the People’s Mora has become a proud mainstay of the Persean People’s Navy, symbolizing the triumph of disciplined socialist engineering over corporate excess.",,,,,
com_grendel,SHIP,"The People’s Grendel is a revolutionary refit of the Grendel-class hull, trading phase systems and medium armaments for reinforced proletarian armor and unified heavy batteries. Prioritizing collective strength over individual agility, it delivers overwhelming, state-approved firepower and has become a favored asset of the Red Horizon Pact’s Intelligence Directorate for its resilience, reliability, and unwavering ideological loyalty.",,,,,
com_engles,SHIP,"The Engels-class supercarrier was conceived in the aftermath of the Marx-class program’s shortcomings, answering the Party’s demand for a true engine of proletarian war. More than a warship, the Engels-class is a colossal mobile factory—an orbital forge capable of sustaining its own strike wings and repairing comrades-in-arms mid-campaign. Its vast fighter complement embodies the collective strength of the workers’ aerospace corps, while a titanic forward-mounted Gauss cannon serves as the vessel’s hammer of socialist justice. The Engels-class stands as the Red Horizon Pact’s ultimate expression of industrial might and revolutionary purpose.",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
com_engles_giant_gauss,WEAPON,"The AK-917 Mass Solidarity Cannon is a monumental gauss weapon engineered by the collective genius of the Morozovian industrial communes. It hurls ultradense, ferromagnetically-sheathed projectiles capable of shattering even the most decadent shield systems fielded by capitalist aggressors. So vast and robust is the AK-917’s barrel that individual firing assemblies can be repurposed as compact industrial accelerators, deployed throughout entire star systems to enrich the productive capacity of the Red Horizon Pact. It is both a weapon of liberation and a tool of construction—an emblem of socialist industry turned toward the defense and advancement of the people.",,,,,
com_mark9,WEAPON,"The AK-657 People’s Suppression Autocannon is a quad-barreled close-assault weapon designed by the workers’ foundries of Morozov to neutralize enemy shield systems through overwhelming, continuous fire. At close range it unleashes a disciplined storm of heavy shells that tears through unarmored hulls and sabotages the machinery of capitalist invaders. Compact, reliable, and easily mass-produced, the AK-657 embodies the Red Horizon Pact’s doctrine of collective firepower and proletarian efficiency.",,,,,
com_double_arbalest,WEAPON,"The AK-745 is a dual heavy auto cannon engineered by the Red Horizon Pact to deliver punishing volleys of electromagnetically-charged rounds, expertly calibrated to grind down hostile shield systems. Conceived not merely as an upgrade but as an ideological correction, the AK-745 replaces outdated capitalist-era weaponry with a proudly proletarian design—robust, efficient, and forged in the furnaces of Morozov to serve the collective strength of the People’s Fleet.
",,,,,
,,,,,,,
com_RHP_destription,CUSTOM,"“Nothing can have value without being an object of utility.”
During the darkest hours of the Second AI War, the Hegemony covertly gathered anti–Tri-Tachyon militants—saboteurs, dissidents, and hardline class warriors—and funneled them into Tri-Tachyon space. Among them was the renowned communist revolutionary Ubiystvo Kongxiang, whose uncompromising ideology and strategic brilliance made him a symbol of proletarian resistance.
Upon landing on the industrial world of Morozov, Kongxiang swiftly seized leadership of the planetary communist party and ignited a populist uprising against the Zinoviev System Authorites. The revolution spread with mechanical precision: factories revolted, workers’ militias mobilized, and the old regime collapsed under the weight of its own contradictions. As General Secretary, Kongxiang then launched the “liberation” of the Chunqiao system during the chaos of the Artemisia Sun coup, further expanding the sphere of revolutionary influence. His triumph was cut short when he was assassinated with an icepick—officially by an unknown agent, though the Party chronicles insist it was the work of reactionary elements.
Emerging from this crucible of upheaval, the Red Horizon Pact (RHP) declared itself the rightful vanguard of the Persean worker. Built on the population, industrial might, and ideological rigor of Morozov, the Pact reorganized its territories into a constellation of People’s Republics, each governed by local committees that take direct guidance from the Communist Party of Morozov. Vanguardist communism is enshrined as the sole lawful ideology, and class consciousness is preserved and protected through sealed borders, rigorous political education, and the ever-watchful Main Directorate of Correctional Labour Camps.
The RHP’s economic and military doctrines revolve around the five-cycle plans: aggressive unrelenting expansion of heavy manufacturing. Commissars are embedded within every regiment, ship, and work battalion to ensure ideological purity and unwavering revolutionary spirit. When not deployed for liberation campaigns, the Persean Sector’s People’s Navy participates in the systematic exploitation of Zinoviev’s colossal asteroid belt—save for the elite Gvardiya formations, whose role remains veiled in secrecy.
To the Red Horizon Pact, all non-socialist states are inherently fascist, or inevitably destined to become so, and thus must be “liberated”. The march toward universal proletarian unity is, in their view, not merely an ideological aspiration—it is historical inevitability.
",,,,,
com_Morozov_desc,CUSTOM,"Morozov stands as the frigid heart of the Red Horizon Pact—a world whose relentless cold mirrors the unyielding discipline of its leadership. Towering foundries, armored factory-cities, and continent-spanning labour complexes dominate its surface, forging the material strength of the proletariat without pause.
Through sacrifice and iron will, Morozov has achieved the dubious honor of being the most polluted world in the Persean Sector, its poisoned skies and scarred continents heralded by party propaganda as proof of the people’s uncompromising commitment to socialist victory. Every furnace belch and every armored conveyer line is celebrated as another step toward the universal liberation of all workers.",,,,,
com_Dniprovia_desc,CUSTOM,"Dniprovia was the first planet “liberated” by the Red Horizon Pact, seized in the opening blaze of the Morozovian revolution and refashioned into a model of socialist extraction. Rich in minerals, hydrocarbons, and arable lowlands, the world’s abundant resources are now directed entirely toward fulfilling the Pact’s ambitious Five-Cycle Plans.
Under the strict supervision of Party commissars, Dniprovia’s industries operate without pause, its landscapes reshaped to feed the furnaces and assembly lines of the wider proletarian struggle. The population—kept in a state of engineered scarcity—remains compliant through a mix of ideological discipline and rationing policies designed to break residual bourgeois resistance.
On Dniprovia, every ingot smelted and every mine stripped bare is heralded as a heroic sacrifice for the inevitable triumph of socialism.
",,,,,
com_station_desc,CUSTOM,"The PLSZS was originally constructed by the decadent Tri-Tachyon corporation to strip-mine the Gigantic Zinoviev asteroid belt for private profit. Following its decisive liberation, the station was transformed into the principal dockyard of the Red Horizon Pact, repurposed for the needs of the collective. Today, it continues its vital function as an ore-extraction hub—now operated by disciplined workers’ brigades—and serves as a cornerstone of the Persean People’s Navy, whose steadfast crews embrace their secondary duty as miners in service of the Five-Cycle Industrial Plan.",,,,,
com_binhdo_desc,CUSTOM,"Binhdo is a world of sweltering jungles, crushing humidity, and storm-thrashed oceans—a harsh environment that the Red Horizon Pact proudly declares the perfect forge for its toughest soldiers. For generations, its people have been subjected to exhaustive conscription quotas, supplying wave after wave of infantry to the Pact’s endless campaigns.
Binhdo’s soils have been stripped bare by relentless overfarming conducted in accordance with Party agricultural directives. The land is exhausted, and the population—drained by military levies and subsistence rations—has been left equally depleted.
Yet in official doctrine, this devastation is celebrated as proof of Binhdo’s unwavering devotion: a world whose jungles, fields, and children alike have been offered up to strengthen the Red Horizon’s march toward universal worker’s liberation.
",,,,,
com_marx,SHIP,"The marx class dreadnaughts serve as both powerful point defence battleships and supply production factories. Massive aquaponic farms and two biodomes produce continuous food production for sustained operations. Onboard refineries and industrial lines manufacture spare parts and munitions, allowing the Marx-class to support entire task forces without reliance on rear-area logistics.
In an act of shocking ideological tolerance a fleet of marx class was commissioned by the red horizon pact from mythic manufacturing ,As part of a plan for pan galactic liberation once the Persian sector was secured. Upon delivery of the lead ship, the design was promptly reverse-engineered in the name of the workers, and the remaining contracts were cancelled.
Mythic manufacturing used the marx class initiative as a chance to experiment with dreadnaught design and production. The class suffers from heavy crew requirements, overstressed reactors, poor deck layouts,and engines designed to be slow enough that the mining drones can bring in raw materials for processing. The class only remains in production and service due to their replacement ,the Babeuf class, is stuck in development hell. ",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,"No major station systems remain operational, though there are a few stray gamma sources and some EM leakage, likely from backup safety systems working hopeless labor.",,,
,,,,"The face of Gilead smiles at you from clouds of purest silk, cerulean seas, and verdant continents of gentle, rolling wilderness. The Church here reigns like a stern gardener, ensuring that population is well controlled and dutiful in honoring the ground upon which Ludd once walked.",,,
,,,,"Apocalyptic dust storms cloud the cruel sky, turning the sun first blood-red before rendering it a directionless glow which offers neither warmth nor comfort. 

The need for absolution spills from the mines, is forged in refineries, and then is assembled in orbit. Asher's virtue of industry is yet the Church's secret shame, spoken of only circuitously in sermons given by particularly spiritual curates. ",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,The economy of Ancyra is dominated by Hegemony logistics. The light industry complex grew up on military contracts and now possesses the scale and legitimacy to make respectable inroads into the civilian commerce web of core Hegemony space.,,,
,,,,"Recruitment holos greet incoming spacers - ""Join the Navy, see the Sector!"". A matte patch of wall-plating suggests that a cheeky addition to the slogan has already been removed by a maintenance drone.",,,
,,,,"Never a station which overwhelmed visitors with welcome, Derinkuyu now sports a fresh patchwork of emergency hull-seal plates and greets outsiders with suspicious looks traded between miners and lightly-armed MuniSec militia.",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,"- K. Astraia, recovered from Kallichore Archive",,,,
,,,"- Tri-Tachyon Morale Assurance intercept, appended to employee termination report",,,,
,,,"-  Luddic funereal prayer, traditional",,,,
,,,"- Sarosh Freeman, senior technician",,,,
,,,"- Unknown researcher, recovered logs from Alpha Site",,,,
,,,"- Salvor verbal report, hyperspace recovery of ISS Augusta",,,,
,,,- Unsigned report sent from Alpha Site to K. Astraia,,,,
,,,- Memo recovered from Alpha Site lab complex,,,,
,,,"- AAR, first encounter at Isir, [REDACTED] expedition",,,,
,,,"- The Book of Ludd, Visions 7:4",,,,
,,,- Tri-Tachyon employee 38940855,,,,
,,,- Memo recovered from Alpha Site lab complex,,,,
,,,"- The Book of Ludd, Visions 7:12",,,,
,,,- classified report to the High Hegemon,,,,
,,,- classified report to the High Hegemon,,,,
,,,,,,,
,,,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,Unidentified Entity,,,,
,,,Unidentified Entity,,,,
,,,Unidentified Entity,,,,
,,,Unidentified Entity,,,,
,,,Unidentified Entity,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,, it is dedicated to the struggle and death of the many martyrs that follow in Ludd's path.,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,"The AI administrator control bunker was secured from the threat contained within as well as the multitude of threat vectors without.

Above all the entire operation was kept absolutely secret; a handsomely compensated human actor was hired to perform as the 'face' for the AI core's decision-making.",,,,
,,,"A rust-bucket Hound came in last shift. Cargo of low-grade ore. I crewed with a Hound 20 cycles ago, I know the logs don't add up - their last run wouldn't have even paid for the fuel. And I know where the shielded holds are. Broke my heart how young the cap was though, a poor kid out of Mozzy. Just like I was. If I bust 'em, I kill their one chance to get out. So I didn't.

Delete log entry.",unlocked,,,
,,,"""All the big contracts go to the toadies kneeling at the feet of the high-and-mighty. Call them approved vendors, Gens-clients, logistical auxilliaries, Faithful traders. It's all the same.""

""It's about us outsiders being kept out, pushed into smuggling and black markets, squeezed by patrols on one side, pirates on the other.""",,"- patron, anonymous, overheard at 'The Fusion Torch'",,
